step,age_years,frailty,stem_cell_pool,ros_level,myeloid_bias,telomere_length,methylation_age,is_alive
12337,33.7769,0.464694,0.977699,0.100159,0.161435,1.000000,35.627769,true
12410,33.9767,0.466640,0.977448,0.101820,0.162878,1.000000,35.850388,true
12483,34.1766,0.468592,0.977196,0.103484,0.164328,1.000000,36.073166,true
12556,34.3765,0.470553,0.976941,0.105150,0.165784,1.000000,36.296116,true
12629,34.5763,0.472520,0.976685,0.106819,0.167246,1.000000,36.519173,true
12702,34.7762,0.474495,0.976428,0.108491,0.168713,1.000000,36.742455,true
12775,34.9760,0.476477,0.976168,0.110164,0.170187,1.000000,36.965794,true
12848,35.1759,0.478467,0.975907,0.111841,0.171668,1.000000,37.189407,true
12921,35.3758,0.480464,0.975644,0.113520,0.173154,1.000000,37.413086,true
12994,35.5756,0.482469,0.975380,0.115202,0.174647,1.000000,37.636978,true
13067,35.7755,0.484482,0.975113,0.116887,0.176147,1.000000,37.861000,true
13140,35.9754,0.486503,0.974845,0.118574,0.177652,1.000000,38.085171,true
13213,36.1752,0.488541,0.974575,0.122680,0.179527,1.000000,38.309536,true
13286,36.3751,0.490587,0.974303,0.127129,0.181459,1.000000,38.533985,true
13359,36.5749,0.492642,0.974029,0.131583,0.183399,1.000000,38.758698,true
13432,36.7748,0.494705,0.973754,0.136051,0.185346,1.000000,38.983479,true
13505,36.9747,0.496776,0.973476,0.140550,0.187305,1.000000,39.208485,true
13578,37.1745,0.498856,0.973197,0.145052,0.189271,1.000000,39.433620,true
13651,37.3744,0.500943,0.972916,0.149558,0.191244,1.000000,39.658905,true
13724,37.5743,0.503039,0.972632,0.154066,0.193224,1.000000,39.884396,true
13797,37.7741,0.505144,0.972347,0.158577,0.195211,1.000000,40.109962,true
13870,37.9740,0.507256,0.972060,0.163092,0.197205,1.000000,40.335804,true
13943,38.1739,0.509378,0.971771,0.167610,0.199206,1.000000,40.561733,true
14016,38.3737,0.511508,0.971480,0.172131,0.201214,1.000000,40.787853,true
14089,38.5736,0.513646,0.971186,0.176656,0.203230,1.000000,41.014145,true
14162,38.7734,0.515794,0.970891,0.181183,0.205253,1.000000,41.240543,true
14235,38.9733,0.517950,0.970594,0.185714,0.207284,1.000000,41.467197,true
14308,39.1732,0.520115,0.970294,0.190248,0.209321,1.000000,41.693939,true
14381,39.3730,0.522289,0.969993,0.194786,0.211367,1.000000,41.920895,true
14454,39.5729,0.524471,0.969689,0.199326,0.213420,1.000000,42.148006,true
14527,39.7728,0.526663,0.969384,0.203870,0.215480,1.000000,42.375240,true
14600,39.9726,0.528864,0.969076,0.208417,0.217549,1.000000,42.602726,true
14673,40.1725,0.531073,0.968766,0.212968,0.219625,1.000000,42.830307,true
14746,40.3723,0.533292,0.968454,0.217522,0.221708,1.000000,43.058098,true
14819,40.5722,0.535520,0.968140,0.222079,0.223800,1.000000,43.286057,true
14892,40.7721,0.537757,0.967823,0.226640,0.225899,1.000000,43.514126,true
14965,40.9719,0.540003,0.967505,0.231204,0.228006,1.000000,43.742466,true
15038,41.1718,0.542258,0.967184,0.235772,0.230121,1.000000,43.970909,true
15111,41.3717,0.544523,0.966861,0.240343,0.232244,1.000000,44.199535,true
15184,41.5715,0.546796,0.966536,0.244917,0.234375,1.000000,44.428364,true
15257,41.7714,0.549079,0.966208,0.249495,0.236514,1.000000,44.657303,true
15330,41.9713,0.551372,0.965879,0.254076,0.238661,1.000000,44.886486,true
15403,42.1711,0.553674,0.965547,0.258661,0.240816,1.000000,45.115814,true
15476,42.3710,0.555984,0.965212,0.263249,0.242979,1.000000,45.345276,true
15549,42.5708,0.558305,0.964876,0.267841,0.245151,1.000000,45.574993,true
15622,42.7707,0.560635,0.964537,0.272436,0.247331,1.000000,45.804829,true
15695,42.9706,0.562973,0.964196,0.277034,0.249518,1.000000,46.034847,true
15768,43.1704,0.565322,0.963852,0.281637,0.251714,1.000000,46.265079,true
15841,43.3703,0.567679,0.963506,0.286242,0.253919,1.000000,46.495430,true
15914,43.5702,0.570046,0.963158,0.290852,0.256131,1.000000,46.726006,true
15987,43.7700,0.572422,0.962807,0.295464,0.258352,1.000000,46.956757,true
16060,43.9699,0.574808,0.962454,0.300081,0.260581,1.000000,47.187634,true
16133,44.1697,0.577202,0.962099,0.304701,0.262819,1.000000,47.418766,true
16206,44.3696,0.579606,0.961741,0.309324,0.265065,1.000000,47.650047,true
16279,44.5695,0.582019,0.961381,0.313951,0.267319,1.000000,47.881458,true
16352,44.7693,0.584441,0.961019,0.318582,0.269582,1.000000,48.113148,true
16425,44.9692,0.586873,0.960654,0.323216,0.271853,1.000000,48.344967,true
16498,45.1691,0.589313,0.960286,0.327853,0.274132,1.000000,48.576935,true
16571,45.3689,0.591763,0.959917,0.332494,0.276420,1.000000,48.809166,true
16644,45.5688,0.594221,0.959544,0.337139,0.278717,1.000000,49.041534,true
